DBCODE,ENTITY,REACH,SERIES,TEST,DATANUM,DATE,TIME,CONCEN,MASSFLUX,DISCHARGE,TEMP
HF011,1,WS3,Early,1,148,4/21/2001,740,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,149,4/21/2001,745,0.01,0.22,27.5,7.5
HF011,1,WS3,Early,1,150,4/21/2001,750,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,151,4/21/2001,755,0,0.08,27.5,7.4
HF011,1,WS3,Early,1,152,4/21/2001,760,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,153,4/21/2001,765,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,154,4/21/2001,770,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,155,4/21/2001,775,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,156,4/21/2001,780,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,157,4/21/2001,785,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,158,4/21/2001,790,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,159,4/21/2001,795,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,160,4/21/2001,800,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,161,4/21/2001,805,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,162,4/21/2001,810,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,163,4/21/2001,815,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,164,4/21/2001,820,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,165,4/21/2001,825,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,166,4/21/2001,830,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,167,4/21/2001,835,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,168,4/21/2001,840,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,169,4/21/2001,845,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,170,4/21/2001,850,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,171,4/21/2001,855,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,172,4/21/2001,860,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,173,4/21/2001,865,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,174,4/21/2001,870,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,175,4/21/2001,875,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,176,4/21/2001,880,0.01,0.33,27.5,7.4
HF011,1,WS3,Early,1,177,4/21/2001,885,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,178,4/21/2001,890,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,179,4/21/2001,895,0,0.08,27.5,7.5
HF011,1,WS3,Early,1,180,4/21/2001,900,0,-0.03,27.5,7.5
HF011,1,WS3,Early,1,181,4/21/2001,905,0,0.11,27.5,7.5
HF011,1,WS3,Early,1,182,4/21/2001,910,0.01,0.27,27.5,7.4
HF011,1,WS3,Early,1,183,4/21/2001,915,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,184,4/21/2001,920,0.01,0.22,27.5,7.5
HF011,1,WS3,Early,1,185,4/21/2001,925,0,0.08,27.5,7.5
HF011,1,WS3,Early,1,186,4/21/2001,930,0.01,0.27,27.5,7.5
HF011,1,WS3,Early,1,187,4/21/2001,935,0,0.11,27.5,7.5
HF011,1,WS3,Early,1,188,4/21/2001,940,0.01,0.3,27.5,7.5
HF011,1,WS3,Early,1,189,4/21/2001,945,0.01,0.27,27.5,7.5
HF011,1,WS3,Early,1,190,4/21/2001,950,0,0.11,27.5,7.5
HF011,1,WS3,Early,1,191,4/21/2001,955,0.01,0.27,27.5,7.5
HF011,1,WS3,Early,1,192,4/21/2001,960,0.01,0.22,27.5,7.5
HF011,1,WS3,Early,1,193,4/21/2001,965,0.01,0.38,27.5,7.5
HF011,1,WS3,Early,1,194,4/21/2001,970,0.01,0.3,27.5,7.5
HF011,1,WS3,Early,1,195,4/21/2001,975,0,0.11,27.5,7.5
HF011,1,WS3,Early,1,196,4/21/2001,980,0.01,0.16,27.5,7.5
HF011,1,WS3,Early,1,197,4/21/2001,985,0.01,0.33,27.5,7.5
HF011,1,WS3,Early,1,198,4/21/2001,990,0.01,0.16,27.5,7.5
HF011,1,WS3,Early,1,199,4/21/2001,995,0.01,0.3,27.5,7.5
HF011,1,WS3,Early,1,200,4/21/2001,1000,0.01,0.22,27.5,7.5
HF011,1,WS3,Early,1,201,4/21/2001,1005,0.01,0.27,27.5,7.5
HF011,1,WS3,Early,1,202,4/21/2001,1010,0,-0.03,27.5,7.5
HF011,1,WS3,Early,1,203,4/21/2001,1015,0.02,0.6,27.5,7.5
HF011,1,WS3,Early,1,204,4/21/2001,1020,0,0.11,27.5,7.5
HF011,1,WS3,Early,1,205,4/21/2001,1025,-0.01,-0.2,27.5,7.4
HF011,1,WS3,Early,1,206,4/21/2001,1030,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,207,4/21/2001,1035,-0.01,-0.2,27.5,7.4
HF011,1,WS3,Early,1,208,4/21/2001,1040,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,209,4/21/2001,1045,-0.01,-0.22,27.5,7.4
HF011,1,WS3,Early,1,210,4/21/2001,1050,-0.01,-0.33,27.5,7.4
HF011,1,WS3,Early,1,211,4/21/2001,1055,-0.01,-0.39,27.5,7.4
HF011,1,WS3,Early,1,212,4/21/2001,1060,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,213,4/21/2001,1065,0,-0.09,27.5,7.4
HF011,1,WS3,Early,1,214,4/21/2001,1070,-0.01,-0.2,27.5,7.4
HF011,1,WS3,Early,1,215,4/21/2001,1075,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,216,4/21/2001,1080,-0.01,-0.2,27.5,7.4
HF011,1,WS3,Early,1,217,4/21/2001,1085,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,218,4/21/2001,1090,0,-0.09,27.5,7.4
HF011,1,WS3,Early,1,219,4/21/2001,1095,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,220,4/21/2001,1100,-0.01,-0.2,27.5,7.4
HF011,1,WS3,Early,1,221,4/21/2001,1105,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,222,4/21/2001,1110,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,223,4/21/2001,1115,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,224,4/21/2001,1120,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,225,4/21/2001,1125,0,-0.09,27.5,7.4
HF011,1,WS3,Early,1,226,4/21/2001,1130,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,227,4/21/2001,1135,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,228,4/21/2001,1140,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,229,4/21/2001,1145,-0.01,-0.28,27.5,7.4
HF011,1,WS3,Early,1,230,4/21/2001,1150,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,231,4/21/2001,1155,-0.01,-0.39,27.5,7.4
HF011,1,WS3,Early,1,232,4/21/2001,1160,0,-0.09,27.5,7.4
HF011,1,WS3,Early,1,233,4/21/2001,1165,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,234,4/21/2001,1170,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,235,4/21/2001,1175,-0.01,-0.2,27.5,7.4
HF011,1,WS3,Early,1,236,4/21/2001,1180,-0.01,-0.22,27.5,7.4
HF011,1,WS3,Early,1,237,4/21/2001,1185,-0.01,-0.2,27.5,7.4
HF011,1,WS3,Early,1,238,4/21/2001,1190,-0.01,-0.14,27.5,7.4
HF011,1,WS3,Early,1,239,4/21/2001,1195,0,-0.03,27.5,7.4
